# k     pk_smooth     pk_ratio
0.0001 418.228 1.43152e-12
0.000100543 420.417 -5.11258e-13
0.000101088 422.618 -4.17111e-12
0.000101637 424.829 -5.89817e-12
0.000102189 427.053 -1.52767e-12
0.000102743 429.288 1.11406e-11
0.000103301 431.534 2.16476e-11
0.000103862 433.793 1.44824e-11
0.000104425 436.063 -2.35095e-11
0.000104992 438.345 -5.47006e-11
0.000105562 440.639 -3.10734e-11
0.000106135 442.945 5.29887e-12
0.000106711 445.264 1.75919e-11
0.00010729 447.594 1.21132e-11
0.000107872 449.936 1.23945e-12
0.000108458 452.291 -4.32132e-12
0.000109046 454.658 -4.04732e-12
0.000109638 457.037 -1.24034e-12
0.000110233 459.429 8.83515e-13
0.000110831 461.833 1.22413e-12
0.000111433 464.25 5.97078e-13
0.000112038 466.68 -1.13576e-13
0.000112646 469.122 -3.37508e-13
0.000113257 471.577 -2.2804e-13
0.000113872 474.044 -1.94289e-14
0.00011449 476.525 8.28226e-14
0.000115111 479.019 7.34968e-14
0.000115736 481.525 2.26485e-14
0.000116364 484.045 -1.33227e-14
0.000116995 486.578 -1.42109e-14
0.00011763 489.124 -4.10783e-15
0.000118269 491.684 -9.99201e-16
0.000118911 494.256 -2.25375e-14
0.000119556 496.843 -3.27516e-14
0.000120205 499.443 -6.10623e-15
0.000120857 502.056 7.14984e-14
0.000121513 504.683 1.31894e-13
0.000122173 507.324 7.9714e-14
0.000122836 509.978 -1.69753e-13
0.000123503 512.647 -4.60187e-13
0.000124173 515.329 -4.3765e-13
0.000124847 518.025 2.4869e-13
0.000125524 520.736 1.4253e-12
0.000126206 523.461 1.87317e-12
0.00012689 526.199 2.56684e-13
0.000127579 528.953 -3.93796e-12
0.000128272 531.72 -7.05058e-12
0.000128968 534.502 -4.08718e-12
0.000129668 537.299 9.12004e-12
0.000130371 540.11 2.41065e-11
0.000131079 542.936 2.25073e-11
0.00013179 545.776 -1.36551e-11
0.000132506 548.632 -4.46283e-11
0.000133225 551.502 -2.96787e-11
0.000133948 554.387 -1.37723e-12
0.000134675 557.288 1.18636e-11
0.000135406 560.203 1.02838e-11
0.000136141 563.134 2.67919e-12
0.000136879 566.08 -2.57183e-12
0.000137622 569.042 -3.18545e-12
0.000138369 572.018 -1.41431e-12
0.00013912 575.011 3.89466e-13
0.000139875 578.019 9.00835e-13
0.000140634 581.043 5.67546e-13
0.000141398 584.082 2.04281e-14
0.000142165 587.138 -2.29039e-13
0.000142937 590.209 -1.944e-13
0.000143712 593.297 -4.80727e-14
0.000144492 596.4 5.32907e-14
0.000145277 599.52 6.23945e-14
0.000146065 602.656 2.66454e-14
0.000146858 605.808 -9.21485e-15
0.000147655 608.977 -1.94289e-14
0.000148456 612.163 -1.43219e-14
0.000149262 615.365 -8.88178e-16
0.000150072 618.583 8.21565e-15
0.000150886 621.819 1.33227e-14
0.000151705 625.071 6.21725e-15
0.000152529 628.341 -1.44329e-14
0.000153356 631.627 -3.67484e-14
0.000154189 634.931 -3.07532e-14
0.000155026 638.252 2.35367e-14
0.000155867 641.59 1.06359e-13
0.000156713 644.946 1.33005e-13
0.000157563 648.319 0
0.000158419 651.709 -3.09974e-13
0.000159278 655.118 -5.12257e-13
0.000160143 658.544 -2.49467e-13
0.000161012 661.988 7.55618e-13
0.000161886 665.45 1.79146e-12
0.000162764 668.93 1.52567e-12
0.000163648 672.428 -1.34459e-12
0.000164536 675.945 -5.70988e-12
0.000165429 679.479 -6.84697e-12
0.000166327 683.033 2.13607e-13
0.000167229 686.604 6.41642e-12
0.000168137 690.195 5.16476e-12
0.00016905 693.804 1.10023e-12
0.000169967 697.432 -1.45617e-12
0.000170889 701.079 -1.63813e-12
0.000171817 704.745 -6.58473e-13
0.000172749 708.43 2.4869e-13
0.000173687 712.134 4.74509e-13
0.00017463 715.857 2.74003e-13
0.000175577 719.6 -8.21565e-15
0.00017653 723.363 -1.25899e-13
0.000177488 727.145 -9.91429e-14
0.000178452 730.946 -2.25375e-14
0.00017942 734.768 2.57572e-14
0.000180394 738.609 2.57572e-14
0.000181373 742.471 8.21565e-15
0.000182357 746.353 -8.88178e-16
0.000183347 750.254 3.9968e-15
0.000184342 754.177 1.02141e-14
0.000185343 758.119 3.10862e-15
0.000186349 762.082 -2.65343e-14
0.00018736 766.066 -4.80727e-14
0.000188377 770.071 -2.05391e-14
0.000189399 774.096 7.57172e-14
0.000190427 778.143 1.72751e-13
0.000191461 782.21 1.35891e-13
0.0001925 786.299 -1.54432e-13
0.000193544 790.409 -5.66547e-13
0.000194595 794.54 -6.44262e-13
0.000195651 798.693 9.92539e-14
0.000196713 802.867 1.66689e-12
0.00019778 807.063 2.56262e-12
0.000198854 811.282 9.88987e-13
0.000199933 815.522 -4.25393e-12
0.000201018 819.784 -9.15301e-12
0.000202109 824.068 -7.03004e-12
0.000203206 828.375 8.42171e-12
0.000204309 832.704 2.98503e-11
0.000205418 837.055 3.32421e-11
0.000206533 841.429 -6.40832e-12
0.000207653 845.826 -8.67012e-11
0.00020878 850.246 -1.23094e-10
0.000209914 854.689 -2.97153e-11
0.000211053 859.155 5.83089e-11
0.000212198 863.644 5.99789e-11
0.00021335 868.156 2.14644e-11
0.000214508 872.692 -1.10222e-11
0.000215672 877.252 -1.77219e-11
0.000216843 881.835 -9.53226e-12
0.000218019 886.443 9.35696e-13
0.000219203 891.074 4.76508e-12
0.000220392 895.729 3.50431e-12
0.000221588 900.408 5.24469e-13
0.000222791 905.112 -1.13609e-12
0.000224 909.84 -1.1442e-12
0.000225216 914.593 -3.95795e-13
0.000226438 919.37 2.17826e-13
0.000227667 924.173 3.31291e-13
0.000228903 929 1.68754e-13
0.000230145 933.852 -1.84297e-14
0.000231394 938.73 -6.83897e-14
0.00023265 943.633 -3.16414e-14
0.000233913 948.561 8.88178e-16
0.000235182 953.515 -4.08562e-14
0.000236459 958.495 -1.0536e-13
0.000237742 963.5 -8.28226e-14
0.000239032 968.532 1.26787e-13
0.000240329 973.59 4.14113e-13
0.000241634 978.674 4.3765e-13
0.000242945 983.784 -1.46327e-13
0.000244264 988.921 -1.26799e-12
0.000245589 994.085 -1.81299e-12
0.000246922 999.275 -5.03042e-13
0.000248262 1004.49 3.36819e-12
0.00024961 1009.74 6.63447e-12
0.000250964 1015.01 4.52793e-12
0.000252327 1020.31 -7.23865e-12
